Fecha,Ocupacion,diez_dias,quince_dias,veinte_dias,treinta_dias,cienmil_10dias,cienmil_15dias,cienmil_20dias,cienmil_30dias,Estado
2020-07-20,60.0,448.0,661.0,14.640370488498084,1248.0,7.653309193520585,11.292047716332828,0.25010554030395055,21.319932753378772,11
2020-07-28,59.0,491.0,724.0,15.989949565034076,1359.0,8.387890209862963,12.36829432167166,0.2731607768080486,23.216176772309097,11
2020-08-04,57.99999999999999,416.0,665.0,15.135785592542936,1326.0,7.106644251126258,11.360380834132119,0.25856885497001175,22.652428550464947,11
2020-05-01,33.0,77.0,96.0,3.2264902776508104,134.0,2.1792960647290553,2.7170444443375237,0.09131789045416842,3.7925412035544603,12
2020-05-08,39.0,122.0,165.0,5.292576157199137,219.0,3.4529106480122698,4.669920138705119,0.14979338170990786,6.198257638644976,12
2020-05-15,55.00000000000001,166.0,230.0,7.868107870060748,327.0,4.698222685000301,6.509585647891984,0.2226874872478844,9.254932638524691,12
2020-05-22,71.0,270.0,358.0,12.02858217545258,516.0,7.641687499699286,10.132311573675349,0.3404395038861542,14.60411388831419,12
2020-05-31,68.0,281.0,451.0,15.085257175332297,686.0,7.953015508946294,12.764448379127325,0.4269511895795769,19.41554675849522,12
2020-06-07,65.0,293.0,446.0,17.179645601175803,811.0,8.292646064488483,12.622935647651413,0.48622771496210726,22.95336504539304,12
2020-06-14,55.00000000000001,305.0,474.0,17.377763425242087,915.0,8.632276620030675,13.415406943916524,0.49183495384964404,25.896829860092023,12
2020-06-21,56.00000000000001,307.0,478.0,17.91551180485056,919.0,8.68888171262104,13.528617129097254,0.5070546022586723,26.010040045272753,12
2020-06-28,53.0,300.0,482.0,17.773999073374647,944.0,8.490763888554762,13.641827314277984,0.5030494316247175,26.71760370265232,12
2020-07-04,40.0,262.0,404.0,16.585292128976974,891.0,7.415267129337825,11.434228703253746,0.46940599829949736,25.217568749007643,12
2020-07-13,36.0,219.0,343.0,13.811642592049084,825.0,6.198257638644976,9.70777337924761,0.39090465387398415,23.349600693525595,12
2020-07-20,36.0,194.0,336.0,12.000279629157403,735.0,5.490693981265412,9.509655555181332,0.33963846975936335,20.802371526959167,12
2020-07-28,39.0,182.0,282.0,10.924782869940463,625.0,5.151063425723223,7.981318055241476,0.3091991729413071,17.689091434489086,12
2020-08-04,33.0,138.0,228.0,9.25493263852469,564.0,3.9057513887351902,6.452980555301619,0.2619381594606409,15.962636110482952,12
2020-05-01,18.0,117.0,141.0,5.2827513968679245,162.0,4.093257704857928,4.932900310982631,0.18481763126562917,5.6675875913417455,13
2020-05-08,32.0,126.0,184.0,7.801679215242036,246.0,4.408123682154692,6.43725998028939,0.27294259451811465,8.606336712778207,13
2020-05-15,35.0,167.0,227.0,9.830815513376736,356.0,5.842513134284393,7.94161964959615,0.3439321482492835,12.45469865751643,13
2020-05-22,44.0,211.0,282.0,12.104847571631142,466.0,7.381857912179681,9.865800621965262,0.42348940674111063,16.30306060225465,13
2020-05-31,44.0,203.0,303.0,14.133983869765842,536.0,7.101977043471447,10.600487902324376,0.4944789604722795,18.7520182034517,13
2020-06-07,44.0,183.0,290.0,13.819117892469079,572.0,6.402274871700861,10.145681490673496,0.48346334006571884,20.011482112638756,13
2020-06-14,40.0,177.0,278.0,13.259356155052608,581.0,6.192364220169686,9.725860187611143,0.4638800148984998,20.32634808993552,13
