FECHA,REGISTROS_ACUM
17/02/2021,2013563
18/02/2021,2022662
19/02/2021,2030491
20/02/2021,2038276
21/02/2021,2041380
22/02/2021,2043632
23/02/2021,2052266
24/02/2021,2060908
25/02/2021,2069370
26/02/2021,2076882
27/02/2021,2084128
28/02/2021,2086938
01/03/2021,2089281
02/03/2021,2097194
03/03/2021,2104987
04/03/2021,2112508
05/03/2021,2119305
06/03/2021,2125866
07/03/2021,2128600
08/03/2021,2130477
09/03/2021,2137884
10/03/2021,2144558
11/03/2021,2151028
12/03/2021,2157771
13/03/2021,2163875
14/03/2021,2166290
15/03/2021,2167729
16/03/2021,2169007
17/03/2021,2175462
18/03/2021,2182188
19/03/2021,2187910
20/03/2021,2193639
21/03/2021,2195772
22/03/2021,2197160
23/03/2021,2203041
24/03/2021,2208755
25/03/2021,2214542
26/03/2021,2219845
27/03/2021,2224767
28/03/2021,2226550
29/03/2021,2227842
30/03/2021,2232910
31/03/2021,2238887
01/04/2021,2244268
02/04/2021,2247357
03/04/2021,2249195
04/04/2021,2250458
05/04/2021,2251705
06/04/2021,2256380
07/04/2021,2261879
08/04/2021,2267019
09/04/2021,2272064
10/04/2021,2278420
11/04/2021,2280213
12/04/2021,2281840
13/04/2021,2286133
14/04/2021,2291246
15/04/2021,2295435
16/04/2021,2299939
17/04/2021,2304096
18/04/2021,2305602
19/04/2021,2306910
