FECHA,REGISTROS_ACUM,REGISTROS,MEDIA_MOVIL
13/09/2020,668381,4408,4908.285714
14/09/2020,671716,3335,4886.714286
15/09/2020,676487,4771,4803.857143
16/09/2020,680931,4444,4774.857143
17/09/2020,684113,3182,4535.571429
18/09/2020,688954,4841,4379.285714
19/09/2020,694121,5167,4306.857143
20/09/2020,697663,3542,4183.142857
21/09/2020,700580,2917,4123.428571
22/09/2020,705263,4683,4110.857143
23/09/2020,710049,4786,4159.714286
24/09/2020,715457,5408,4477.714286
25/09/2020,720858,5401,4557.714286
26/09/2020,726431,5573,4615.714286
27/09/2020,730317,3886,4664.857143
28/09/2020,733717,3400,4733.857143
29/09/2020,738163,4446,4700
30/09/2020,743216,5053,4738.142857
01/10/2020,748315,5099,4694
02/10/2020,753090,4775,4604.571429
03/10/2020,757953,4863,4503.142857
04/10/2020,761665,3712,4478.285714
05/10/2020,765082,3417,4480.714286
06/10/2020,769558,4476,4485
07/10/2020,799188,29630,7996
08/10/2020,804488,5300,8024.714286
09/10/2020,809751,5263,8094.428571
10/10/2020,814328,4577,8053.571429
11/10/2020,817503,3175,7976.857143
12/10/2020,821045,3542,7994.714286
13/10/2020,825340,4295,7968.857143
14/10/2020,829396,4056,4315.428571
15/10/2020,834910,5514,4346
16/10/2020,841661,6751,4558.571429
17/10/2020,847108,5447,4682.857143
18/10/2020,851227,4119,4817.714286
19/10/2020,854926,3699,4840.142857
20/10/2020,860714,5788,5053.428571
21/10/2020,867559,6845,5451.857143
22/10/2020,874171,6612,5608.714286
23/10/2020,880775,6604,5587.714286
24/10/2020,886800,6025,5670.285714
25/10/2020,891160,4360,5704.714286
26/10/2020,895326,4166,5771.428571
27/10/2020,901268,5942,5793.428571
28/10/2020,906863,5595,5614.857143
29/10/2020,912811,5948,5520
30/10/2020,918811,6000,5433.714286
31/10/2020,924962,6151,5451.714286
01/11/2020,929392,4430,5461.714286
02/11/2020,933155,3763,5404.142857
03/11/2020,938405,5250,5305.285714
04/11/2020,943630,5225,5252.428571
05/11/2020,949197,5567,5198
06/11/2020,955128,5931,5188.142857
07/11/2020,961938,6810,5282.285714
08/11/2020,967825,5887,5490.428571
09/11/2020,972785,4960,5661.428571
10/11/2020,978531,5746,5732.285714
11/11/2020,986177,7646,6078.142857
12/11/2020,991835,5658,6091.142857
13/11/2020,997393,5558,6037.857143
14/11/2020,1003253,5860,5902.142857
15/11/2020,1006522,3269,5528.142857
16/11/2020,1009396,2874,5230.142857
17/11/2020,1011153,1757,4660.285714
18/11/2020,1015071,3918,4127.714286
19/11/2020,1019543,4472,3958.285714
20/11/2020,1025969,6426,4082.285714
21/11/2020,1032688,6719,4205
22/11/2020,1041875,9187,5050.428571
23/11/2020,1049358,7483,5708.857143
24/11/2020,1060152,10794,6999.857143
25/11/2020,1070487,10335,7916.571429
26/11/2020,1078594,8107,8435.857143
27/11/2020,1086119,7525,8592.857143
28/11/2020,1100683,14564,9713.571429
29/11/2020,1107071,6388,9313.714286
30/11/2020,1113543,6472,9169.285714
01/12/2020,1122362,8819,8887.142857
02/12/2020,1133613,11251,9018
03/12/2020,1144643,11030,9435.571429
04/12/2020,1156770,12127,10093
05/12/2020,1168395,11625,9673.142857
06/12/2020,1175850,7455,9825.571429
07/12/2020,1182249,6399,9815.142857
08/12/2020,1193255,11006,10127.57143
09/12/2020,1205229,11974,10230.85714
10/12/2020,1217126,11897,10354.71429
11/12/2020,1229379,12253,10372.71429
12/12/2020,1241436,12057,10434.42857
13/12/2020,1250044,8608,10599.14286
14/12/2020,1255974,5930,10532.14286
15/12/2020,1267202,11228,10563.85714
16/12/2020,1277499,10297,10324.28571
17/12/2020,1289298,11799,10310.28571
18/12/2020,1301546,12248,10309.57143
19/12/2020,1313675,12129,10319.85714
20/12/2020,1320545,6870,10071.57143
21/12/2020,1325915,5370,9991.571429
22/12/2020,1338426,12511,10174.85714
23/12/2020,1350079,11653,10368.57143
24/12/2020,1362564,12485,10466.57143
25/12/2020,1372243,9679,10099.57143
26/12/2020,1377217,4974,9077.428571
27/12/2020,1383434,6217,8984.142857
28/12/2020,1389430,5996,9073.571429
29/12/2020,1401529,12099,9014.714286
30/12/2020,1413935,12406,9122.285714
31/12/2020,1426094,12159,9075.714286
01/01/2021,1437185,11091,9277.428571
02/01/2021,1443544,6359,9475.285714
03/01/2021,1448755,5211,9331.571429
04/01/2021,1455219,6464,9398.428571
05/01/2021,1466490,11271,9280.142857
06/01/2021,1479835,13345,9414.285714
07/01/2021,1493569,13734,9639.285714
08/01/2021,1507931,14362,10106.57143
09/01/2021,1524036,16105,11498.85714
10/01/2021,1534039,10003,12183.42857
11/01/2021,1541633,7594,12344.85714
12/01/2021,1556028,14395,12791.14286
13/01/2021,1571901,15873,13152.28571
14/01/2021,1588369,16468,13542.85714
15/01/2021,1609735,21366,14543.42857
16/01/2021,1630258,20523,15174.57143
17/01/2021,1641428,11170,15341.28571
18/01/2021,1649502,8074,15409.85714
19/01/2021,1668396,18894,16052.57143
20/01/2021,1688944,20548,16720.42857
21/01/2021,1711283,22339,17559.14286
22/01/2021,1732290,21007,17507.85714
23/01/2021,1752347,20057,17441.28571
24/01/2021,1763219,10872,17398.71429
25/01/2021,1771740,8521,17462.57143
26/01/2021,1788905,17165,17215.57143
27/01/2021,1806849,17944,16843.57143
28/01/2021,1825519,18670,16319.42857
29/01/2021,1841893,16374,15657.57143
30/01/2021,1857230,15337,14983.28571
31/01/2021,1864260,7030,14434.42857
01/02/2021,1869708,5448,13995.42857
02/02/2021,1874092,4384,12169.57143
03/02/2021,1886245,12153,11342.28571
04/02/2021,1899820,13575,10614.42857
05/02/2021,1912871,13051,10139.71429
06/02/2021,1926080,13209,9835.714286
07/02/2021,1932145,6065,9697.857143
08/02/2021,1936013,3868,9472.142857
09/02/2021,1946751,10738,10379.85714
10/02/2021,1957889,11138,10234.85714
11/02/2021,1968566,10677,9820.857143
12/02/2021,1978954,10388,9440.428571
13/02/2021,1988695,9741,8945
14/02/2021,1992794,4099,8664.142857
15/02/2021,1995892,3098,8554.142857
